participant,adhd_message,ADHD_1,ADHD_2,ex1_message,experiment_1,ex2_message1,experiment_2,remember,completion,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.7c536f82-996c-4012-8aaa-7693767f2bef.txt,17735,114955,155604,42225,"",52706,"",77607,8443,36659,2018-11-27-10-19,2018-11-27-10-38,19
s.4d7571c1-a3f5-4394-9105-af5f2efa13a8.txt,7064,34292,80967,13737,"",97279,"",41744,6121,1919848,2018-11-27-11-12,2018-11-27-11-26,14
s.2f614a17-7ea7-41a9-91bc-6380ab51272e.txt,18880,50523,78580,11585,"",12637,"",35664,8496,111966,2018-11-27-09-51,2018-11-27-10-03,12
s.ec15126d-bf42-4fe0-b061-3aa7dd98aff0.txt,9738,25139,61407,11483,"",6077,"",39396,4618,17898,2018-11-27-12-17,2018-11-27-12-29,12
s.40380f31-6838-4929-b469-45780c191ba4.txt,14821,45491,61607,12899,"",4146,"",46233,16466,37703,2018-11-27-08-57,2018-11-27-09-10,13
s.9c71bd9b-804b-47b8-bb2b-8978ebd99a43.txt,6427,55757,105234,25097,"",15137,"",59032,5121,110288,2018-11-27-10-08,2018-11-27-10-21,13
s.87589ad3-2a53-429f-bada-6620a199638e.txt,16679,75357,114430,21790,"",27723,"",53303,7330,42532,2018-11-27-10-49,2018-11-27-11-05,16
s.ab6e5be4-d401-4f32-8e8c-fd711550d27d.txt,12704,102162,103531,39467,"",10873,"",80223,7367,49682,2018-11-27-11-30,2018-11-27-11-45,15
s.f94f6a48-2557-4a0d-ad18-a984d051ac36.txt,5337,34214,63730,7686,"",91824,"",18298,3314,74538,2018-11-27-08-55,2018-11-27-09-08,13
s.86f6de89-4c0a-40d9-b1c8-96b212fc8a25.txt,7077,79287,86903,"","","","","","",19737,2018-11-27-12-12,"",""
